sweep_axis,tilt_angle,repeat,position,label,angle_x,angle_y,cx,cy
y,0.11999999999999998,3,8,"(+x,-y)",0.0,-0.11999999999999998,1214.7097713955015,826.3103129475994
y,0.11999999999999998,4,0,"(-x,+y)",-0.0,0.11999999999999998,1214.648130211916,827.1647684176992
y,0.11999999999999998,4,1,"(0,+y)",0.0,0.11999999999999998,1214.6586401126408,827.1298876826432
y,0.11999999999999998,4,2,"(+x,+y)",0.0,0.11999999999999998,1214.6868156966807,827.1715546730749
y,0.11999999999999998,4,3,"(-x, 0)",-0.0,0.0,1214.713385651681,826.7232430871816
y,0.11999999999999998,4,4,"(0, 0)",0.0,0.0,1214.710358395866,826.7332406314499
y,0.11999999999999998,4,5,"(+x, 0)",0.0,0.0,1214.7120888924426,826.7172734666806
y,0.11999999999999998,4,6,"(-x,-y)",-0.0,-0.11999999999999998,1214.7270374525328,826.3385053404285
y,0.11999999999999998,4,7,"(0,-y)",0.0,-0.11999999999999998,1214.7060467269403,826.3132399934116
y,0.11999999999999998,4,8,"(+x,-y)",0.0,-0.11999999999999998,1214.705233968476,826.2838082453641
y,0.13999999999999999,0,0,"(-x,+y)",-0.0,0.13999999999999999,1214.6945831377786,827.16336196062
y,0.13999999999999999,0,1,"(0,+y)",0.0,0.13999999999999999,1214.7132662908168,827.221359418359
y,0.13999999999999999,0,2,"(+x,+y)",0.0,0.13999999999999999,1214.7205269539772,827.2173437565801
y,0.13999999999999999,0,3,"(-x, 0)",-0.0,0.0,1214.735411008105,826.7015172071112
y,0.13999999999999999,0,4,"(0, 0)",0.0,0.0,1214.7358249945412,826.7238814570753
y,0.13999999999999999,0,5,"(+x, 0)",0.0,0.0,1214.7239132759616,826.7041693651099
y,0.13999999999999999,0,6,"(-x,-y)",-0.0,-0.13999999999999999,1214.6967456063705,826.2405499978108
y,0.13999999999999999,0,7,"(0,-y)",0.0,-0.13999999999999999,1214.6862703052843,826.217841383585
y,0.13999999999999999,0,8,"(+x,-y)",0.0,-0.13999999999999999,1214.6963333881117,826.2335741320943
y,0.13999999999999999,1,0,"(-x,+y)",-0.0,0.13999999999999999,1214.7097954614096,827.203010685342
y,0.13999999999999999,1,1,"(0,+y)",0.0,0.13999999999999999,1214.7222449150509,827.237766879331
y,0.13999999999999999,1,2,"(+x,+y)",0.0,0.13999999999999999,1214.6990189831738,827.1553471898076
y,0.13999999999999999,1,3,"(-x, 0)",-0.0,0.0,1214.7367053756593,826.6618433404298
y,0.13999999999999999,1,4,"(0, 0)",0.0,0.0,1214.7375081174466,826.6742371681219
y,0.13999999999999999,1,5,"(+x, 0)",0.0,0.0,1214.7416574216786,826.6902559827654
y,0.13999999999999999,1,6,"(-x,-y)",-0.0,-0.13999999999999999,1214.7155234058018,826.2372108323275
y,0.13999999999999999,1,7,"(0,-y)",0.0,-0.13999999999999999,1214.6876462933162,826.2201660909882
y,0.13999999999999999,1,8,"(+x,-y)",0.0,-0.13999999999999999,1214.6937639864118,826.2129276261053
y,0.13999999999999999,2,0,"(-x,+y)",-0.0,0.13999999999999999,1214.7209238002285,827.1775776195379
y,0.13999999999999999,2,1,"(0,+y)",0.0,0.13999999999999999,1214.7149958133973,827.2032807844738
y,0.13999999999999999,2,2,"(+x,+y)",0.0,0.13999999999999999,1214.7409403760778,827.1827047140823
y,0.13999999999999999,2,3,"(-x, 0)",-0.0,0.0,1214.7786375814276,826.6541209705384
y,0.13999999999999999,2,4,"(0, 0)",0.0,0.0,1214.736187733104,826.6990963036246
y,0.13999999999999999,2,5,"(+x, 0)",0.0,0.0,1214.761752937634,826.6607753772049
y,0.13999999999999999,2,6,"(-x,-y)",-0.0,-0.13999999999999999,1214.739080113514,826.2485619332093
y,0.13999999999999999,2,7,"(0,-y)",0.0,-0.13999999999999999,1214.7267916123496,826.2611104878438
y,0.13999999999999999,2,8,"(+x,-y)",0.0,-0.13999999999999999,1214.7451009635447,826.2614401052917
y,0.13999999999999999,3,0,"(-x,+y)",-0.0,0.13999999999999999,1214.7333160837686,827.2276882571022
y,0.13999999999999999,3,1,"(0,+y)",0.0,0.13999999999999999,1214.741815761608,827.2018930333695
y,0.13999999999999999,3,2,"(+x,+y)",0.0,0.13999999999999999,1214.731889588855,827.2249483093747
y,0.13999999999999999,3,3,"(-x, 0)",-0.0,0.0,1214.7303016338385,826.708789839331
y,0.13999999999999999,3,4,"(0, 0)",0.0,0.0,1214.69116429409,826.7339210739204
y,0.13999999999999999,3,5,"(+x, 0)",0.0,0.0,1214.6989031020785,826.7231107562287
y,0.13999999999999999,3,6,"(-x,-y)",-0.0,-0.13999999999999999,1214.657987962097,826.2337219377688
y,0.13999999999999999,3,7,"(0,-y)",0.0,-0.13999999999999999,1214.639282706609,826.2376500180711
y,0.13999999999999999,3,8,"(+x,-y)",0.0,-0.13999999999999999,1214.6542839080807,826.2512425995204
y,0.13999999999999999,4,0,"(-x,+y)",-0.0,0.13999999999999999,1214.6582577773552,827.2157531829241
y,0.13999999999999999,4,1,"(0,+y)",0.0,0.13999999999999999,1214.663096479948,827.2162469075766
y,0.13999999999999999,4,2,"(+x,+y)",0.0,0.13999999999999999,1214.6801312213026,827.2039227132738
y,0.13999999999999999,4,3,"(-x, 0)",-0.0,0.0,1214.7242099986593,826.6991410658663
y,0.13999999999999999,4,4,"(0, 0)",0.0,0.0,1214.713405356689,826.69734009388
y,0.13999999999999999,4,5,"(+x, 0)",0.0,0.0,1214.7201365878416,826.6824574677681
y,0.13999999999999999,4,6,"(-x,-y)",-0.0,-0.13999999999999999,1214.695097205868,826.2501299637643
y,0.13999999999999999,4,7,"(0,-y)",0.0,-0.13999999999999999,1214.6861232473252,826.2197987162842
y,0.13999999999999999,4,8,"(+x,-y)",0.0,-0.13999999999999999,1214.6868780664681,826.1888869984057
y,0.15999999999999998,0,0,"(-x,+y)",-0.0,0.15999999999999998,1214.7183480330416,827.2298461111598
y,0.15999999999999998,0,1,"(0,+y)",0.0,0.15999999999999998,1214.73424716644,827.2946078881337
y,0.15999999999999998,0,2,"(+x,+y)",0.0,0.15999999999999998,1214.7334364833418,827.2579588705557
y,0.15999999999999998,0,3,"(-x, 0)",-0.0,0.0,1214.7208141687056,826.7367753799948
y,0.15999999999999998,0,4,"(0, 0)",0.0,0.0,1214.741102554705,826.684278635737
y,0.15999999999999998,0,5,"(+x, 0)",0.0,0.0,1214.747509972073,826.6730697861661
y,0.15999999999999998,0,6,"(-x,-y)",-0.0,-0.15999999999999998,1214.684312777911,826.1501535782933
y,0.15999999999999998,0,7,"(0,-y)",0.0,-0.15999999999999998,1214.676670561582,826.1783822574168
y,0.15999999999999998,0,8,"(+x,-y)",0.0,-0.15999999999999998,1214.6755381447238,826.1150365663323
