sweep_axis,tilt_angle_deg,position,label,dx_mean_px,dx_std_px,dy_mean_px,dy_std_px
y,0.12000,7,"(0,-y)",0.0122,0.0162,-0.4241,0.0177
y,0.12000,8,"(+x,-y)",0.0140,0.0108,-0.4355,0.0317
y,0.14000,0,"(-x,+y)",-0.0194,0.0336,0.4918,0.0316
y,0.14000,1,"(0,+y)",-0.0117,0.0335,0.5104,0.0313
y,0.14000,2,"(+x,+y)",-0.0083,0.0288,0.4912,0.0090
y,0.14000,3,"(-x, 0)",0.0182,0.0189,-0.0206,0.0154
y,0.14000,5,"(+x, 0)",0.0065,0.0119,-0.0135,0.0175
y,0.14000,6,"(-x,-y)",-0.0219,0.0145,-0.4637,0.0240
y,0.14000,7,"(0,-y)",-0.0376,0.0167,-0.4744,0.0254
y,0.14000,8,"(+x,-y)",-0.0275,0.0191,-0.4761,0.0244
y,0.16000,0,"(-x,+y)",0.0035,0.0295,0.5654,0.0438
y,0.16000,1,"(0,+y)",0.0038,0.0245,0.5802,0.0245
y,0.16000,2,"(+x,+y)",0.0053,0.0157,0.5733,0.0292
y,0.16000,3,"(-x, 0)",0.0051,0.0224,0.0058,0.0356
y,0.16000,5,"(+x, 0)",0.0054,0.0107,0.0058,0.0312
y,0.16000,6,"(-x,-y)",-0.0374,0.0195,-0.5276,0.0170
y,0.16000,7,"(0,-y)",-0.0407,0.0174,-0.5308,0.0276
y,0.16000,8,"(+x,-y)",-0.0350,0.0234,-0.5273,0.0618
y,0.18000,0,"(-x,+y)",-0.0329,0.0960,0.7113,0.0531
y,0.18000,1,"(0,+y)",-0.0300,0.1009,0.7070,0.0361
y,0.18000,2,"(+x,+y)",-0.0204,0.0981,0.7217,0.0372
y,0.18000,3,"(-x, 0)",-0.0116,0.0302,0.0044,0.0282
y,0.18000,5,"(+x, 0)",-0.0105,0.0081,0.0084,0.0171
y,0.18000,6,"(-x,-y)",-0.0575,0.0347,-0.5543,0.0228
y,0.18000,7,"(0,-y)",-0.0659,0.0137,-0.5545,0.0160
y,0.18000,8,"(+x,-y)",-0.0996,0.0536,-0.5421,0.0709
y,0.20000,0,"(-x,+y)",0.0273,0.0917,0.7238,0.0793
y,0.20000,1,"(0,+y)",0.0309,0.0921,0.7415,0.0792
y,0.20000,2,"(+x,+y)",0.0350,0.0851,0.7365,0.0802
y,0.20000,3,"(-x, 0)",-0.0369,0.0703,0.0182,0.0332
y,0.20000,5,"(+x, 0)",0.0029,0.0290,-0.0127,0.0192
y,0.20000,6,"(-x,-y)",0.0836,0.1311,-0.6853,0.0443
y,0.20000,7,"(0,-y)",0.0918,0.1498,-0.6962,0.0208
y,0.20000,8,"(+x,-y)",0.0955,0.1504,-0.7059,0.0375
y,0.22000,0,"(-x,+y)",0.0716,0.0172,0.7436,0.0091
y,0.22000,1,"(0,+y)",0.0752,0.0135,0.7540,0.0117
y,0.22000,2,"(+x,+y)",0.0746,0.0161,0.7535,0.0052
y,0.22000,3,"(-x, 0)",0.0019,0.0178,0.0074,0.0109
y,0.22000,5,"(+x, 0)",0.0017,0.0071,0.0011,0.0116
y,0.22000,6,"(-x,-y)",0.0172,0.0123,-0.7098,0.0133
y,0.22000,7,"(0,-y)",0.0146,0.0122,-0.7191,0.0144
y,0.22000,8,"(+x,-y)",0.0139,0.0098,-0.7224,0.0103
y,0.24000,0,"(-x,+y)",0.0380,0.0049,0.7887,0.0064
y,0.24000,1,"(0,+y)",0.0365,0.0096,0.8044,0.0129
y,0.24000,2,"(+x,+y)",0.0441,0.0074,0.8001,0.0091
y,0.24000,3,"(-x, 0)",0.0088,0.0057,0.0080,0.0056
y,0.24000,5,"(+x, 0)",-0.0070,0.0071,-0.0008,0.0084
y,0.24000,6,"(-x,-y)",-0.0177,0.0094,-0.7754,0.0084
y,0.24000,7,"(0,-y)",-0.0181,0.0093,-0.7798,0.0072
y,0.24000,8,"(+x,-y)",-0.0206,0.0147,-0.7823,0.0143
y,0.26000,0,"(-x,+y)",0.0208,0.0093,0.8430,0.0164
y,0.26000,1,"(0,+y)",0.0217,0.0076,0.8639,0.0068
y,0.26000,2,"(+x,+y)",0.0241,0.0110,0.8654,0.0057
y,0.26000,3,"(-x, 0)",0.0048,0.0052,0.0062,0.0049
y,0.26000,5,"(+x, 0)",-0.0122,0.0123,0.0040,0.0125
y,0.26000,6,"(-x,-y)",-0.0447,0.0160,-0.8362,0.0135
y,0.26000,7,"(0,-y)",-0.0448,0.0196,-0.8607,0.0191
y,0.26000,8,"(+x,-y)",-0.0471,0.0180,-0.8736,0.0203
y,0.28000,0,"(-x,+y)",-0.0033,0.0301,0.9261,0.0051
y,0.28000,1,"(0,+y)",0.0171,0.0241,0.9490,0.0136
y,0.28000,2,"(+x,+y)",0.0327,0.0114,0.9509,0.0138
y,0.28000,3,"(-x, 0)",0.0004,0.0173,0.0196,0.0314
y,0.28000,5,"(+x, 0)",-0.0055,0.0219,0.0021,0.0120
y,0.28000,6,"(-x,-y)",-0.0522,0.0324,-0.9246,0.0170
y,0.28000,7,"(0,-y)",-0.0468,0.0143,-0.9562,0.0181
y,0.28000,8,"(+x,-y)",-0.0390,0.0172,-0.9672,0.0153
y,0.30000,0,"(-x,+y)",0.0145,0.0213,1.0329,0.0075
y,0.30000,1,"(0,+y)",0.0280,0.0174,1.0481,0.0074
y,0.30000,2,"(+x,+y)",0.0383,0.0164,1.0655,0.0011
y,0.30000,3,"(-x, 0)",0.0027,0.0108,0.0013,0.0120
y,0.30000,5,"(+x, 0)",-0.0187,0.0073,0.0059,0.0217
y,0.30000,6,"(-x,-y)",-0.0555,0.0134,-1.0380,0.0190
y,0.30000,7,"(0,-y)",-0.0567,0.0181,-1.0702,0.0217
y,0.30000,8,"(+x,-y)",-0.0606,0.0260,-1.0597,0.0144
